model,attack_family,total,detected,missed_false_negative,detection_rate_recall,false_negative_rate
Logistic Regression,Botnet,24,13,11,0.5416666666666666,0.4583333333333333
Logistic Regression,Brute Force,59,49,10,0.8305084745762712,0.1694915254237288
Logistic Regression,DoS/DDoS,746,745,1,0.9986595174262735,0.0013404825737265416
Logistic Regression,Infiltration,1669,499,1170,0.29898142600359495,0.701018573996405
Logistic Regression,Web Attack,40,35,5,0.875,0.125
Random Forest,Botnet,24,23,1,0.9583333333333334,0.041666666666666664
Random Forest,Brute Force,59,55,4,0.9322033898305084,0.06779661016949153
Random Forest,DoS/DDoS,746,744,2,0.9973190348525469,0.002680965147453083
Random Forest,Infiltration,1669,334,1335,0.20011983223487118,0.7998801677651288
Random Forest,Web Attack,40,40,0,1.0,0.0
Shallow MLP,Botnet,24,21,3,0.875,0.125
Shallow MLP,Brute Force,59,55,4,0.9322033898305084,0.06779661016949153
Shallow MLP,DoS/DDoS,746,746,0,1.0,0.0
Shallow MLP,Infiltration,1669,469,1200,0.2810065907729179,0.7189934092270821
Shallow MLP,Web Attack,40,38,2,0.95,0.05
PyTorch MLP,Botnet,24,21,3,0.875,0.125
PyTorch MLP,Brute Force,59,55,4,0.9322033898305084,0.06779661016949153
PyTorch MLP,DoS/DDoS,746,746,0,1.0,0.0
PyTorch MLP,Infiltration,1669,428,1241,0.25644098262432596,0.7435590173756741
PyTorch MLP,Web Attack,40,36,4,0.9,0.1
Deep MLP,Botnet,24,10,14,0.4166666666666667,0.5833333333333334
Deep MLP,Brute Force,59,50,9,0.847457627118644,0.15254237288135594
Deep MLP,DoS/DDoS,746,745,1,0.9986595174262735,0.0013404825737265416
Deep MLP,Infiltration,1669,359,1310,0.21509886159376873,0.7849011384062313
Deep MLP,Web Attack,40,20,20,0.5,0.5
Autoencoder + MLP,Botnet,24,10,14,0.4166666666666667,0.5833333333333334
Autoencoder + MLP,Brute Force,59,51,8,0.864406779661017,0.13559322033898305
Autoencoder + MLP,DoS/DDoS,746,745,1,0.9986595174262735,0.0013404825737265416
Autoencoder + MLP,Infiltration,1669,367,1302,0.21989215098861595,0.7801078490113841
Autoencoder + MLP,Web Attack,40,22,18,0.55,0.45
